"s","beta.hat","CI.lower.pointwise","CI.upper.pointwise","CI.lower.joint","CI.upper.joint"
1,-0.010138348488207,-0.26205602064172,0.241779323665306,-0.423294475816693,0.403017778840279
2,-0.01324859178651,-0.278879855905024,0.252382672332004,-0.448895616635556,0.422398433062536
3,-0.0170957249555039,-0.290220811076379,0.256029361165371,-0.465032949419835,0.430841499508827
4,-0.0201902507143718,-0.293352940125955,0.252972438697212,-0.468189146239057,0.427808644810314
5,-0.020184620442476,-0.294418557695895,0.254049316810943,-0.469940409820452,0.4295711689355
6,-0.0178737899842832,-0.292899205868655,0.257151625900088,-0.468927639332536,0.433180059363969
7,-0.0179508611820375,-0.288791959693583,0.252890237329508,-0.462142244922015,0.42624052255794
8,-0.0243047836590426,-0.290160772046599,0.241551204728513,-0.460320366251261,0.411710798933176
9,-0.035385912813829,-0.30131432438323,0.230542498755572,-0.471520272628321,0.400748447000663
10,-0.0454923454757516,-0.315424706493288,0.224440015541785,-0.488193359522434,0.397208668570931
11,-0.0499437534056684,-0.32113341485972,0.221245908048383,-0.494706795792,0.394819288980664
12,-0.0479459145800968,-0.312949901688532,0.217058072528338,-0.482564177381483,0.386672348221289
13,-0.0418793283164602,-0.298027082211115,0.214268425578194,-0.461972976841903,0.378214320208982
14,-0.036054078169882,-0.29067036041756,0.218562204077796,-0.45363604544101,0.381527889101246
15,-0.0350983134583117,-0.295992054639126,0.225795427722503,-0.462975591098527,0.392778964181904
16,-0.0403906397953311,-0.30548221342291,0.224700933832248,-0.475152548362996,0.394371268772333
17,-0.0477750329995693,-0.309537540963867,0.213987474964728,-0.477077126599488,0.381527060600349
18,-0.0512648630499095,-0.307088233333997,0.204558507234178,-0.470826508103085,0.368296782003266
19,-0.0493877730977123,-0.304270136613663,0.205494590418238,-0.467406125420411,0.368630579224986
20,-0.0459162828519523,-0.305087466452043,0.213254900748138,-0.470968489852746,0.379135924148842
21,-0.044704727555323,-0.305897497453942,0.216488042343296,-0.473072425521957,0.383662970411311
22,-0.0464351805541353,-0.303131653710493,0.210261292602222,-0.467428752944457,0.374558391836186
23,-0.0500493396364942,-0.301833716714052,0.201735037441063,-0.462986857143354,0.362888177870366
24,-0.0539412005607575,-0.308302612658411,0.200420211536896,-0.471105169510229,0.363222768388715
25,-0.0554571115167102,-0.317197391166499,0.206283168133079,-0.484722749697439,0.373808526664019
26,-0.0529518334201652,-0.317236634622806,0.211332967782476,-0.486390599518811,0.380486932678481
27,-0.0493658686317654,-0.307736387270338,0.209004650006808,-0.473104949673748,0.374373212410217
28,-0.0502779698545905,-0.301295555271023,0.200739615561842,-0.461957915113859,0.361401975404678
29,-0.0568954021065349,-0.30825993064441,0.19446912643134,-0.469144349433952,0.355353545220882
30,-0.0639570659020735,-0.322361169649353,0.194447037845206,-0.487751228008162,0.359837096204015
31,-0.0660628224135495,-0.329121674235888,0.196996029408789,-0.497490977291726,0.365365332464627
32,-0.0633378920732547,-0.325067610277209,0.1983918261307,-0.492586209015571,0.365910424869062
33,-0.0595283753321485,-0.320676873567131,0.201620122902834,-0.487823465811812,0.368766715147515
34,-0.0573181304448146,-0.325494972043043,0.210858711153414,-0.497140014978545,0.382503754088916
35,-0.0570303385817564,-0.336595903716241,0.222535226552729,-0.515530233559261,0.401469556395748
36,-0.0574901494959879,-0.344787866765633,0.229807567773657,-0.528671116050443,0.413690817058467
37,-0.0569107281913694,-0.345588919637027,0.231767463254288,-0.530355733467533,0.416534277084794
38,-0.0551341623790666,-0.342259488018521,0.231991163260388,-0.526032399033294,0.415764074275161
39,-0.0554852711167108,-0.342165715125936,0.231195172892515,-0.52565388221552,0.414683339982098
40,-0.061566750728566,-0.348958868435577,0.225825366978445,-0.532902538176637,0.409769036719505
